iter	Passed	Remaining
802	1572	385
803	1574	383
804	1575	381
805	1577	379
806	1579	377
807	1580	375
808	1582	373
809	1584	371
810	1587	369
811	1589	367
812	1590	365
813	1592	363
814	1593	361
815	1595	359
816	1596	357
817	1598	355
818	1600	353
819	1602	351
820	1603	349
821	1605	347
822	1607	345
823	1608	343
824	1610	341
825	1612	339
826	1614	337
827	1615	335
828	1617	333
829	1618	331
830	1620	329
831	1622	327
832	1623	325
833	1625	323
834	1627	321
835	1628	319
836	1630	317
837	1632	315
838	1634	313
839	1636	311
840	1638	309
841	1640	307
842	1641	305
843	1643	303
844	1645	301
845	1646	299
846	1648	297
847	1650	295
848	1652	293
849	1653	291
850	1655	289
851	1657	287
852	1659	285
853	1660	283
854	1662	282
855	1664	280
856	1666	278
857	1668	276
858	1669	274
859	1671	272
860	1673	270
861	1675	268
862	1677	266
863	1678	264
864	1680	262
865	1682	260
866	1683	258
867	1685	256
868	1687	254
869	1688	252
870	1691	250
871	1693	248
872	1695	246
873	1696	244
874	1698	242
875	1699	240
876	1701	238
877	1702	236
878	1704	234
879	1706	232
880	1708	230
881	1710	228
882	1712	226
883	1713	224
884	1715	222
885	1717	220
886	1718	218
887	1720	217
888	1723	215
889	1724	213
890	1727	211
891	1729	209
892	1731	207
893	1732	205
894	1734	203
895	1735	201
896	1737	199
897	1740	197
898	1741	195
899	1743	193
900	1745	191
901	1746	189
902	1748	187
903	1750	185
904	1752	183
905	1753	181
906	1755	179
907	1757	178
908	1759	176
909	1760	174
910	1762	172
911	1764	170
912	1765	168
913	1767	166
914	1769	164
915	1770	162
916	1772	160
917	1774	158
918	1776	156
919	1777	154
920	1779	152
921	1781	150
922	1783	148
923	1785	146
924	1787	144
925	1788	142
926	1790	141
927	1792	139
928	1794	137
929	1797	135
930	1799	133
931	1800	131
932	1802	129
933	1804	127
934	1805	125
935	1807	123
936	1809	121
937	1811	119
938	1813	117
939	1814	115
940	1816	113
941	1817	111
942	1819	109
943	1821	108
944	1822	106
945	1824	104
946	1827	102
947	1828	100
948	1830	98
949	1831	96
950	1832	94
951	1834	92
952	1836	90
953	1837	88
954	1839	86
955	1841	84
956	1842	82
957	1844	80
958	1845	78
959	1847	76
960	1849	75
961	1851	73
962	1852	71
963	1854	69
964	1856	67
965	1858	65
966	1860	63
967	1861	61
968	1863	59
969	1865	57
970	1867	55
971	1869	53
972	1871	51
973	1873	50
974	1874	48
975	1876	46
976	1878	44
977	1879	42
978	1881	40
979	1883	38
980	1885	36
981	1887	34
982	1889	32
983	1890	30
984	1892	28
